car_id,duration_in_lane
1,2.36660099
2,2.38150692
3,0.875461817
4,0.504961014
5,4.91E-05
6,0.307235003
7,4.48E-05
8,4.48E-05
9,3.19E-05
10,8.11E-05
11,7.10E-05
12,2.31E-05
13,4.39E-05
14,3.29E-05
15,7.49E-05
16,3.31E-05
17,3.50E-05
18,4.60E-05
19,4.91E-05
20,7.61E-05
21,4.01E-05
22,5.20E-05
23,2.29E-05
24,0.000101089
25,3.39E-05
26,3.39E-05
27,0.021182775
28,3.50E-05
29,0.061578035
30,4.70E-05
31,5.82E-05
32,3.29E-05
33,7.89E-05
34,4.41E-05
35,3.29E-05
36,5.32E-05
37,3.39E-05
38,44.15969014
39,43.48736882
40,43.04092312
41,42.58097816
42,41.09760213
43,39.80520391
44,38.70179605
45,39.08169103
46,38.91120219
47,38.27654099
48,37.072469
49,37.45422983
50,36.94009089
51,37.33690405
52,37.08366203
53,37.2647109
54,36.53137612
55,35.25378203
56,33.8881259
57,32.53335094
58,32.4588151
59,32.00023103
60,31.39561605
61,30.26659918
62,29.00596809
63,28.40064287
64,26.91789293
65,25.51378298
66,24.88510489
67,24.85627985
68,24.91110802
69,23.662817
70,22.37198305
71,21.73840904
72,20.63461089
73,19.22823405
74,19.62979317
75,19.74693418
76,20.13303614
77,20.38603616
78,20.07999802
79,18.59249711
80,18.62734914
81,18.37797093
82,17.06217003
83,17.5395031
84,18.01858211
85,16.9068222
86,15.68647003
87,15.64382601
88,15.32490802
89,15.572824
90,15.84436989
91,14.85096288
92,13.52703691
93,13.73354292
94,13.46159697
95,12.97853708
96,11.48214102
97,11.26535416
98,11.5145359
99,10.76658702
100,9.763560772
101,9.263036013
102,8.784852982
103,8.58031702
104,7.210968018
105,6.105410099
106,4.614768028
107,3.594076157
108,3.709339142
109,3.099550009
110,1.831625938
111,2.192422867
112,1.58517909
113,1.269757986
114,1.681947947
115,1.709477186
116,0.358659983
117,0.120706081
118,44.98278904
119,43.52837515
120,43.89462399
121,43.14996195
122,41.92304206
123,42.19707894
124,40.80571198
125,41.29497194
126,41.66367006
127,40.23778915
128,39.09193206
129,37.81347179
130,38.02681804
131,37.6192832
132,37.91751909
133,36.76361299
134,36.43625689
135,34.94852591
136,34.82399201
137,35.02407503
138,33.78979301
139,33.88592887
140,33.44951797
141,32.93769193
142,32.79118514
143,31.339252
144,30.76851988
145,29.32022619
146,29.26614404
147,28.93538117
148,28.4200151
149,28.133533
150,26.94078588
151,26.44031596
152,26.87303615
153,25.59416199
154,24.74332404
155,23.35918498
156,22.34342384
157,21.28983903
158,20.20866513
159,19.52914596
160,19.84422803
161,19.61993313
162,19.53523016
163,19.40659714
164,19.11461997
165,19.49891782
166,19.56996608
167,19.14526796
168,18.62701702
169,17.80038905
170,16.59709597
171,17.08922195
172,16.68375087
173,16.90132904
174,16.17485404
175,16.44455385
176,16.6638751
177,15.52529097
178,14.96144104
179,15.29888797
180,14.83207297
181,14.23747396
182,14.3417201
183,13.41735196
184,12.76148701
185,11.70903397
186,11.54093599
187,11.74963403
188,12.23387098
189,12.70074892
190,13.14441299
191,12.14807081
192,11.72112203
193,11.35651493
194,10.17330503
195,10.44979215
196,10.30468798
197,10.32393813
198,56.61143303
199,55.32865596
200,54.80436492
201,54.59417677
202,53.94511795
203,54.42934203
204,53.47678208
205,53.13806915
206,53.38593197
207,51.98034406
208,51.68759513
209,50.94311595
210,49.71744013
211,49.25241995
212,49.17908812
213,48.05415702
214,46.67163801
215,45.21827316
216,44.00616217
217,44.41428685
218,43.18363094
219,43.43176413
220,43.76466894
221,42.58792615
222,41.76635194
223,41.68550897
224,40.95844412
225,41.2330699
226,39.78052902
227,40.06238604
228,38.65190911
229,39.10058594
230,38.96112299
231,37.48533893
232,37.97033691
233,38.077456
234,36.68019795
235,35.67015505
236,34.722049
237,33.25415397
238,32.4509201
239,31.52158403
240,31.36791492
241,31.39086509
242,31.18838501
243,31.3184731
244,31.53339195
245,30.57577991
246,29.57192206
247,29.63095808
248,29.41837907
249,29.23124695
250,28.38454199
251,28.19028115
252,27.60639191
253,27.85460114
254,28.1457212
255,27.03024006
256,26.18744493
257,24.69815993
258,23.56350803
259,23.36432505
260,23.74463201
261,24.05630803
262,23.77219796
263,23.83595085
264,24.06879687
265,24.23504686
266,23.68102288
267,23.83405519
268,22.40495396
269,21.06760788
270,20.25699401
271,20.43620205
272,20.09684491
273,20.35484004
274,19.75683689
275,18.80048084
276,18.43820286
277,17.70358109
278,63.58354092
279,63.498703
280,63.80914903
281,62.79084802
282,61.318609
283,61.19842505
284,59.8564198
285,59.79361796
286,59.45086503
287,59.65813899
288,59.89164901
289,59.00372481
290,58.98558593
291,58.30894804
292,58.51328993
293,57.69432688
294,57.73545599
295,57.60240889
296,56.82409787
297,56.42951512
298,55.04991484
299,55.12337208
300,54.8960309
301,54.80810285
302,53.67865205
303,52.48664999
304,51.18491912
305,49.68660307
306,48.21858096
307,47.16217709
308,47.43764496
309,47.16671395
310,47.6272769
311,46.67729211
312,45.40261102
313,45.78951287
314,45.55759001
315,44.52068996
316,44.90370798
317,43.69334507
318,43.14905
319,43.15633178
320,42.61512899
321,41.92622018
322,40.85070705
323,39.92619205
324,38.83628702
325,37.87113404
326,37.87421083
327,37.64634991
328,38.01192904
329,38.2206049
330,38.17757082
331,38.04862881
332,38.38537693
333,37.699368
334,37.30398393
335,36.623492
336,37.02938795
337,35.58100581
338,34.9318459
339,34.33724809
340,34.46121001
341,34.92720103
342,34.69338012
343,35.01350307
344,34.13694787
345,32.84894395
346,32.87320399
347,32.8599751
348,32.10644984
349,30.93546104
350,30.265728
351,29.09605503
352,29.21170616
353,28.79196
354,29.04924202
355,27.91768217
356,27.16726899
357,27.26456714
358,72.70406008
359,71.64414001
360,71.20602298
361,70.99293017
362,71.08094501
363,71.45225596
364,70.56964207
365,69.51314998
366,69.773072
367,69.48137879
368,68.93936396
369,69.13889694
370,68.89549685
371,69.26598287
372,68.54575896
373,67.47119093
374,67.78965497
375,66.73891306
376,65.53733993
377,64.69023681
378,64.067307
379,63.10810494
380,62.22231007
381,61.26427794
382,60.13453388
383,60.28282619
384,59.53702211
385,58.63509607
386,59.03958583
387,58.84179497
388,58.32938886
389,58.01880693
390,56.76994109
391,56.94371796
392,56.46803689
393,55.51237988
394,55.07135701
395,54.71524096
396,55.16693711
397,54.10009408
398,52.67686796
399,51.24470401
400,49.835675
401,48.57783508
402,48.38896489
403,47.89179206
404,47.61917686
405,46.85050893
406,45.57469082
407,45.3537178
408,45.57749391
409,44.66107988
410,44.299685
411,44.44170403
412,43.34236097
413,43.42464495
414,43.51654005
415,43.81515789
416,42.32867408
417,42.55585098
418,42.78853989
419,43.04866004
420,42.00234485
421,42.26280117
422,41.23778319
423,41.68732619
424,41.108922
425,41.40081191
426,39.93357301
427,40.2303679
428,39.628093
429,38.43581295
430,37.15370297
431,37.43369102
432,36.67773604
433,36.67252684
434,36.70522499
435,35.96939206
436,35.03417516
437,35.51358795
438,80.73681593
439,79.40290713
440,78.072721
441,77.14899898
442,77.48295403
443,76.126755
444,75.31705785
445,74.73948598
446,75.12977314
447,74.55523109
448,73.18015504
449,72.00099993
450,72.23543906
451,70.77346802
452,70.53699017
453,70.44835305
454,69.58590293
455,69.97248101
456,68.69807792
457,67.68210506
458,67.89214301
459,68.346138
460,67.96055388
461,67.74816394
462,67.56709504
463,67.87013507
464,67.67268896
465,67.14631891
466,66.01473713
467,64.61628914
468,63.33344507
469,62.7603929
470,61.30680919
471,60.16153789
472,58.9446969
473,58.127563
474,58.51148295
475,58.50245094
476,57.4974761
477,57.93641305
478,57.17603803
479,56.81927514
480,56.70715094
481,55.64863706
482,54.91231608
483,54.88187099
484,54.16728306
485,53.71090293
486,52.5954721
487,51.97424698
488,51.71361208
489,50.66520715
490,49.42151499
491,48.24500704
492,47.48901796
493,47.25907207
494,47.47744083
495,47.9537549
496,46.49888992
497,46.13093305
498,45.40496993
499,44.34280014
500,43.22028923
501,41.73308206
502,41.28714299
503,40.08439112
504,38.976542
505,37.65013814
506,36.90241814
507,36.94292617
508,35.481848
509,35.1402781
510,34.60736418
511,33.9323349
512,33.326859
513,32.14202905
514,31.617661
515,30.30307698
516,30.07723188
517,29.76575303
,
,36.47160194
