car_id,duration_in_lane
1,2.242892027
2,0.837591171
3,0.221559048
4,4.29E-05
5,3.19E-05
6,8.61E-05
7,3.31E-05
8,3.50E-05
9,4.51E-05
10,0.155424118
11,3.29E-05
12,4.60E-05
13,3.29E-05
14,5.10E-05
15,4.98E-05
16,2.69E-05
17,4.91E-05
18,3.22E-05
19,3.19E-05
20,7.51E-05
21,4.91E-05
22,4.60E-05
23,3.19E-05
24,8.20E-05
25,5.60E-05
26,2.29E-05
27,4.29E-05
28,4.91E-05
29,3.19E-05
30,4.60E-05
31,3.39E-05
32,4.20E-05
33,3.31E-05
34,5.51E-05
35,2.41E-05
36,0.4092381
37,2.60E-05
38,0.195024967
39,3.41E-05
40,5.20E-05
41,7.89E-05
42,4.60E-05
43,0.033562899
44,3.31E-05
45,4.51E-05
46,5.91E-05
47,3.70E-05
48,6.91E-05
49,6.79E-05
50,3.31E-05
51,4.29E-05
52,2.38E-05
53,2.19E-05
54,8.18E-05
55,9.80E-05
56,0.084599972
57,0.540971994
58,0.661685944
59,5.98E-05
60,3.50E-05
61,3.50E-05
62,2.22E-05
63,2.31E-05
64,5.51E-05
65,64.17162704
66,63.11645103
67,63.09958792
68,62.32080388
69,60.97371912
70,60.79801106
71,60.43451095
72,59.13799
73,57.86651707
74,57.63501
75,57.53166604
76,57.663831
77,56.96189404
78,56.52132106
79,56.52511501
80,55.67237592
81,55.34444094
82,53.96763396
83,53.63759398
84,52.73378396
85,52.61407804
86,52.77164006
87,52.04565001
88,51.53791809
89,51.16582108
90,50.21239305
91,48.97065592
92,47.93561077
93,47.95646
94,47.98489785
95,47.46571302
96,47.53980398
97,46.05498004
98,46.34693384
99,46.26684308
100,45.53015709
101,44.09914994
102,43.15615892
103,42.06325388
104,40.74510813
105,40.77389407
106,39.46435404
107,38.2227881
108,37.24113202
109,35.9248271
110,35.60593295
111,35.49463201
112,35.33764291
113,34.34273911
114,34.18089008
115,33.03115201
116,33.10574508
117,33.31326604
118,32.78338194
119,31.39113903
120,30.45793319
121,30.65907216
122,29.60577011
123,29.24635887
124,29.002455
125,29.06013823
126,28.66847992
127,27.62000608
128,27.80668998
129,26.94403911
130,26.7850461
131,25.722615
132,25.12340808
133,25.21233392
134,23.92645288
135,24.19616604
136,23.82164407
137,23.14084506
138,23.33597493
139,23.50490785
140,23.89420319
141,22.55919099
142,22.95582891
143,22.87299418
144,22.81999302
145,23.06665015
146,21.59059906
147,21.04417205
148,20.85372615
149,19.88364196
150,19.05588818
151,18.81230497
152,18.35662699
153,16.99400592
154,16.40492892
155,16.30720615
156,16.07028008
157,15.28014302
158,15.73185396
159,14.99866104
160,13.9077189
161,12.75166798
162,11.90191293
163,10.44702601
164,9.732360125
165,9.980062008
166,8.762684107
167,7.473671913
