car_id,duration_in_lane
1,45.52818584
2,46.01226997
3,45.53449392
4,45.52568007
5,44.0465858
6,43.98217392
7,44.06290603
8,44.52254605
9,44.44542313
10,43.66385198
11,42.65937304
12,42.98628211
13,42.37907982
14,42.77474403
15,42.19726586
16,42.34179783
17,41.74342299
18,41.40923905
19,41.617522
20,41.06351686
21,41.0805819
22,40.70061994
23,39.728652
24,40.19632292
25,40.08885789
26,39.30804586
27,39.27928996
28,38.72347808
29,38.29851818
30,37.47441697
31,36.8122921
32,36.27452588
33,34.77576995
34,33.82899284
35,33.69076395
36,33.28083706
37,33.21218586
38,33.42165112
39,33.73356295
40,32.70567584
41,31.57512593
42,30.21597004
43,29.77220321
44,29.82377791
45,29.74568319
46,29.2941649
47,29.58917594
48,28.74653101
49,27.94963408
50,27.89845586
51,28.11691999
52,26.67462087
53,26.07385993
54,25.04109311
55,24.82125711
56,23.97267389
57,24.31033897
58,24.46099091
59,23.00355005
60,23.21571898
61,23.25675416
62,23.21386909
63,22.43108606
64,22.65709114
65,22.43807197
66,21.14597011
67,21.49512196
68,21.83964205
69,21.03922009
70,20.44200206
71,19.58102012
72,19.66735101
73,19.6980319
74,18.46275306
75,18.66031814
76,17.93323302
77,17.70437098
78,17.14360809
79,16.17204595
80,16.30036497
81,62.21805215
82,62.53785801
83,61.68612504
84,60.32104206
85,60.38133883
86,58.97650409
87,58.47091413
88,58.71181989
89,57.74646211
90,57.034374
91,56.49857402
92,55.65415192
93,55.61333609
94,54.94535017
95,54.50236607
96,54.80078411
97,54.53831506
98,54.57572293
99,54.40454197
100,53.32011485
101,52.72581983
102,52.42082691
103,52.55257702
104,52.66426897
105,52.59733486
106,51.54711199
107,50.65755486
108,49.94312787
109,50.07976007
110,49.86578894
111,50.10451198
112,48.81001306
113,49.2499609
114,49.006253
115,49.18843317
116,48.54427195
117,47.05583405
118,46.7880218
119,45.53607297
120,44.0869689
121,42.65435195
122,42.530056
123,42.86685205
124,41.39908791
125,39.90634394
126,40.06858301
127,39.09399295
128,38.07423902
129,38.56142688
130,38.30597401
131,37.596277
132,36.24083114
133,35.49726415
134,34.65441918
135,34.38340688
136,34.59121895
137,35.05295205
138,34.86182904
139,34.60426211
140,34.76762891
141,35.264184
142,34.82863116
143,35.26069713
144,34.25221086
145,34.34256291
146,33.99346399
147,33.45159602
148,32.34684086
149,32.28010392
150,30.89771414
151,29.53722501
152,29.87113309
153,29.37299204
154,29.25433207
155,29.55617619
156,28.19345593
157,28.64968181
158,27.95162177
159,28.37658596
160,27.21076202
161,73.01751614
162,72.55253005
163,71.38567901
164,71.6927619
165,72.09631515
166,72.25469303
167,71.55279207
168,70.83633685
169,70.70627189
170,70.86929798
171,69.417202
172,68.24377489
173,66.97919917
174,65.67279387
175,65.61567116
176,65.0105319
177,64.41582417
178,64.49602103
179,63.09931397
180,62.37804794
181,61.66599011
182,61.13338709
183,61.6185329
184,60.59555197
185,60.17315912
186,59.59672499
187,58.37307096
188,58.26742816
189,56.91128302
190,55.61971807
191,55.07511091
192,54.43830681
193,54.59641385
